Az,Gx,Gy,Gz,Temp,FlowX,FlowY,LiDAR,Flux,LiDAR Temp,Ax,Ay
1009.46,8.42,-2.56,12.57,8211.0,0.0,0.0,10.0,5601.0,35.0,-30.03,-26.0
1012.94,-1.95,-4.15,0.73,8211.0,0.0,0.0,11.0,5603.0,35.0,-27.65,-21.06
1010.38,-0.37,-0.24,-0.24,8211.0,0.0,0.0,11.0,5604.0,35.0,-27.65,-23.25
1010.74,4.64,-2.69,1.83,8211.0,0.0,0.0,11.0,5605.0,35.0,-31.31,-24.35
1013.67,2.44,-1.71,-6.1,8211.0,0.0,0.0,11.0,5597.0,35.0,-30.58,-24.9
1013.49,2.08,4.64,1.34,8211.0,0.0,0.0,11.0,5602.0,35.0,-28.38,-23.8
1011.84,0.0,7.2,1.46,8211.0,0.0,0.0,11.0,5601.0,35.0,-32.41,-25.82
1013.49,-2.08,4.52,-0.37,8211.0,0.0,0.0,11.0,5606.0,35.0,-25.45,-23.62
1007.45,0.61,-3.66,3.05,8211.0,0.0,0.0,11.0,5604.0,35.0,-20.51,-23.07
1012.39,5.25,-1.59,1.71,8211.0,0.0,0.0,11.0,5600.0,35.0,-25.09,-15.75
1013.12,-6.35,-5.37,-6.23,8211.0,0.0,0.0,11.0,5601.0,35.0,-25.45,-25.27
1011.66,-3.91,-1.59,1.95,8211.0,0.0,0.0,11.0,5600.0,35.0,-29.3,-26.37
1014.4,-5.62,-1.1,-0.37,8211.0,0.0,0.0,11.0,5602.0,35.0,-33.14,-26.92
1012.57,-3.3,-1.34,-9.03,8211.0,0.0,0.0,11.0,5604.0,35.0,-33.51,-27.65
1010.19,-10.5,3.05,-2.08,8211.0,0.0,0.0,11.0,5598.0,35.0,-30.76,-23.25
1012.02,4.76,-1.1,0.49,8211.0,0.0,0.0,11.0,5607.0,35.0,-30.03,-17.4
1011.66,-0.98,-3.78,1.71,8211.0,0.0,0.0,11.0,5599.0,35.0,-26.92,-21.24
1012.39,2.69,2.32,-0.73,8211.0,0.0,0.0,11.0,5599.0,35.0,-31.49,-19.04
1012.39,4.52,-2.32,-4.39,8211.0,0.0,0.0,11.0,5600.0,35.0,-28.93,-21.06
1012.21,3.66,0.0,-4.27,8211.0,0.0,0.0,11.0,5604.0,35.0,-30.94,-26.73
1011.29,1.59,0.98,8.42,8211.0,0.0,0.0,10.0,5602.0,35.0,-32.78,-23.62
