roll,pitch,yaw
-0.00908555,0.0373308,-0.765821
-0.00764021,0.035016,-0.590137
-0.00692808,0.0323388,-0.414481
-0.00620768,0.0296705,-0.238482
-0.0064771,0.0262287,-0.0624929
-0.0074863,0.0227053,0.113479
-0.0090173,0.0203574,0.289496
-0.0110654,0.0182224,0.465507
-0.013459,0.0163449,0.641359
-0.0161376,0.0151123,0.81721
-0.0188262,0.0140638,0.993064
-0.0215607,0.0138784,1.16892
-0.0241917,0.0139216,1.34478
-0.0267967,0.0146152,1.52063
-0.0289159,0.0153421,1.69669
-0.0307736,0.0161615,1.87275
-0.0326484,0.0181142,2.04857
-0.0340732,0.0203271,2.2244
-0.0351867,0.0223994,2.40049
-0.0356707,0.024355,2.5766
-0.0358445,0.0264893,2.75255
-0.0358613,0.028425,2.92851
-0.0353633,0.0306606,3.10464
-0.0343412,0.032472,-3.00239
-0.0329676,0.0343575,-2.82636
-0.0312872,0.0359738,-2.65032
-0.0291374,0.0374653,-2.47462
-0.0268909,0.038198,-2.29891
-0.0244508,0.0387169,-2.1229
-0.0221866,0.0385711,-1.9469
-0.020424,0.0384845,-1.77059
-0.0188106,0.037984,-1.59428
-0.0167835,0.037484,-1.41838
-0.0146714,0.0364166,-1.24249
-0.0133036,0.0348864,-1.06671
-0.0121335,0.0328065,-0.890934
-0.0112623,0.0309896,-0.714956
-0.0108047,0.0287397,-0.538992
-0.0105257,0.0268483,-0.362872
-0.0105822,0.0249191,-0.186762
-0.0113992,0.0231433,-0.0109777
-0.0126201,0.0216194,0.164799
-0.0134953,0.0199557,0.340703
-0.0149516,0.0182166,0.516598
-0.0164107,0.0166576,0.693033
-0.0185638,0.0153357,0.869094
-0.0210434,0.0146126,1.04515
-0.0234442,0.0141268,1.22121
-0.0256957,0.0141559,1.39726
-0.0278467,0.0153524,1.57333
-0.0296936,0.0165234,1.74941
-0.0318174,0.0181265,1.92554
-0.0335538,0.0199288,2.10168
-0.0350208,0.0221477,2.27782
-0.0360378,0.0247217,2.45396
-0.0358595,0.0271364,2.63028
-0.0351205,0.0295285,2.80661
-0.0346227,0.031677,2.98255
-0.0338612,0.033653,-3.12468
-0.0328021,0.0352835,-2.9488
-0.0316212,0.0370365,-2.77292
-0.0297404,0.0379129,-2.59698
-0.0277976,0.0388012,-2.42103
-0.0259103,0.0393214,-2.24515
-0.0239987,0.0394776,-2.06927
-0.0212481,0.0393525,-1.89331
-0.0188165,0.0387977,-1.71737
-0.0160819,0.0376418,-1.54115
-0.0135652,0.0363107,-1.36493
-0.0117966,0.0348765,-1.18857
-0.0106285,0.0332163,-1.01224
-0.00948696,0.0311719,-0.836002
-0.00873654,0.0288014,-0.659778
-0.00816304,0.0265251,-0.483542
-0.00807956,0.0241805,-0.30732
-0.00859624,0.0218494,-0.131484
-0.00953078,0.019628,0.0443443
-0.0113386,0.0174832,0.220418
-0.0135478,0.0158635,0.396488
-0.0161249,0.0144806,0.57256
-0.0189544,0.0136292,0.74863
-0.0217231,0.0129063,0.924169
-0.0243761,0.0125458,1.09971
-0.0272398,0.012843,1.2756
-0.0302311,0.0138135,1.45148
-0.032492,0.0152929,1.62753
-0.0343574,0.0169982,1.8036
-0.0359627,0.0190289,1.97967
-0.0376287,0.0212208,2.15588
-0.0386487,0.023985,2.3321
-0.0384559,0.0269077,2.50848
-0.0378813,0.0299491,2.68488
-0.0371998,0.0327372,2.86129
-0.0363225,0.0351018,3.03772
-0.0347835,0.0371876,-3.06901
-0.0328621,0.0393083,-2.89254
-0.0303361,0.0415388,-2.71589
-0.0271533,0.0430337,-2.53921
-0.0243493,0.0439213,-2.36307
-0.0211927,0.0442524,-2.1869
-0.0178237,0.0433551,-2.0106
-0.0149817,0.0417691,-1.83432
-0.012022,0.0400153,-1.65782
-0.00971171,0.0379778,-1.48135
-0.00769178,0.0356032,-1.30538
-0.00650918,0.0329657,-1.12943
-0.00533045,0.0297415,-0.95381
-0.00489955,0.0266855,-0.778214
-0.00558826,0.0235206,-0.602605
-0.00663063,0.0208621,-0.427001
-0.00837745,0.0188751,-0.251251
-0.0102211,0.0169128,-0.0754983
-0.0121038,0.0150926,0.100472
-0.0142342,0.0137241,0.276443
-0.0164555,0.0125273,0.452762
-0.0187895,0.0116161,0.629082
-0.0214975,0.0113529,0.805368
-0.0239014,0.0118202,0.981656
-0.0264356,0.0124861,1.15751
-0.0290394,0.0135225,1.33335
-0.0314605,0.0151275,1.50936
-0.0335197,0.0171288,1.68537
-0.035132,0.0192788,1.86173
-0.0363177,0.021688,2.0381
-0.0365639,0.0244281,2.21448
-0.0366776,0.0269968,2.39085
-0.0365689,0.0299348,2.56734
-0.0361142,0.0320587,2.74383
-0.0355609,0.0342548,2.92031
-0.0340294,0.0365667,3.09641
-0.0321022,0.0384391,-3.01066
-0.0300538,0.0399176,-2.83468
-0.0277979,0.0409817,-2.6587
-0.0256414,0.0420305,-2.48237
-0.0235169,0.0424826,-2.30603
-0.0212271,0.0427414,-2.12969
-0.0188119,0.0422169,-1.95335
-0.0163575,0.0415065,-1.77694
-0.0140254,0.0404678,-1.60054
-0.0116531,0.0390662,-1.42448
-0.00953757,0.0374016,-1.24842
-0.00741505,0.0347283,-1.07235
-0.00587854,0.0315922,-0.896304
-0.00546326,0.0283049,-0.720161
-0.00540815,0.0249766,-0.544029
-0.00584402,0.0227229,-0.367824
-0.00635333,0.020357,-0.19162
-0.00746355,0.0176506,-0.0155142
-0.00909162,0.0153371,0.160585
-0.0112406,0.0135756,0.33649
-0.0136548,0.0120214,0.512395
-0.0163033,0.0111667,0.688547
-0.0187672,0.0110303,0.864702
-0.0213874,0.0110227,1.04101
-0.023969,0.0114748,1.21732
-0.0258797,0.0124782,1.39323
-0.0274816,0.0136861,1.56913
-0.0296369,0.0152807,1.74526
-0.0318048,0.017212,1.92138
-0.0335426,0.0191924,2.09789
-0.0351742,0.0214989,2.2744
-0.0358598,0.0244832,2.45054
-0.0362299,0.0272104,2.62669
-0.036099,0.0299984,2.80304
-0.0351189,0.0327683,2.97942
-0.0340412,0.0350827,-3.12719
-0.0322753,0.0369554,-2.95058
-0.0299497,0.0388718,-2.77441
-0.0276991,0.0404563,-2.59823
-0.0251061,0.0413463,-2.42203
-0.0224804,0.041981,-2.24571
-0.0195595,0.0421127,-2.06936
-0.0172158,0.0417861,-1.89312
-0.0148972,0.0410418,-1.71688
-0.0127365,0.0397438,-1.54052
-0.0112274,0.0381281,-1.36419
-0.00964328,0.0362743,-1.18786
-0.00876706,0.0342226,-1.01156
-0.00779326,0.0318163,-0.835646
-0.00734841,0.0291399,-0.659751
-0.00718002,0.02704,-0.484
-0.00743284,0.0248691,-0.308259
-0.00830087,0.0220612,-0.13239
-0.00976592,0.0198035,0.0434671
-0.0116246,0.0175383,0.219289
-0.0137019,0.0153847,0.395112
-0.0159352,0.0145279,0.571369
-0.0183313,0.0138438,0.747626
-0.0211365,0.0133145,0.923761
-0.0240314,0.0135916,1.09989
-0.0261016,0.0144546,1.27599
-0.0280378,0.0156068,1.45209
-0.0296946,0.0171918,1.62857
-0.0310486,0.0190415,1.80505
-0.0316355,0.0212733,1.98119
-0.0320848,0.023789,2.15732
-0.0318311,0.0262322,2.33338
-0.0314257,0.0284285,2.50944
-0.030804,0.0304695,2.68562
-0.0297915,0.032748,2.8618
-0.028315,0.0347502,3.03801
-0.0268694,0.0363455,-3.06897
-0.0248481,0.037464,-2.89291
-0.0226071,0.0381908,-2.71684
-0.0206742,0.0378725,-2.54074
-0.0191028,0.0372387,-2.36465
-0.017749,0.0366017,-2.18851
-0.0163281,0.0357385,-2.01237
-0.0150592,0.0350438,-1.83606
-0.0140287,0.0340476,-1.65975
-0.0128509,0.0329098,-1.48344
-0.0117732,0.030808,-1.30749
-0.0110549,0.0283798,-1.13156
-0.0105646,0.0266963,-0.955346
-0.0105783,0.0246564,-0.779148
-0.0111478,0.0224785,-0.602957
-0.011841,0.0206084,-0.426768
-0.0130072,0.0187124,-0.250586
-0.0143854,0.0173817,-0.074408
-0.0161785,0.0157469,0.101236
-0.018367,0.0144737,0.276876
-0.0205181,0.0137822,0.452548
-0.0229441,0.0136213,0.628216
-0.0251318,0.0138896,0.804041
-0.0271774,0.0141466,0.979868
-0.0295185,0.0148716,1.15563
-0.0313013,0.0159517,1.3314
-0.0328307,0.017381,1.50743
-0.0340407,0.0188571,1.68346
-0.0354775,0.0209161,1.85924
-0.0364752,0.0231504,2.03502
-0.0376034,0.0257841,2.21066
-0.0378785,0.0284418,2.38633
-0.0372732,0.0309721,2.56255
-0.0362161,0.0335037,2.73879
-0.0349609,0.0358567,2.9147
-0.0333209,0.0381434,3.09064
-0.0311821,0.0399195,-3.01652
-0.0290229,0.0415968,-2.84049
-0.0264192,0.0423439,-2.66424
-0.0237351,0.0426201,-2.48799
-0.0212962,0.0426058,-2.31175
-0.0185738,0.0423277,-2.13549
